Node ID,x,y,disp_x,disp_y,stress_x,stress_y
7156,-1.9697,0.68928,0.0022246,0.0012075,0.028732,1.8104
7168,-2.9985,0.59923,0.002606,0.00069312,0.16837,1.255
7179,-4.7,0.59992,0.0029986,0.00046217,0.0063878,0.79005
7185,-1.0527,0.72643,0.0017821,0.003171,0.18116,0.68135
7187,-2.7968,0.69864,0.0025019,0.00085222,0.14631,1.3385
7225,-4.8,0.49995,0.003047,0.00036601,0.0032375,0.7472
7234,-4.1999,0.49996,0.0029071,0.00045341,0.042307,0.93008
7249,-2.1924,0.39969,0.0026096,0.00058115,0.3953,1.67
7251,-2.5959,0.5991,0.0025214,0.00076401,0.20629,1.4184
7255,-4.8,0.29996,0.003085,0.00021824,0.0037522,0.73403
7261,-4.3,0.2,0.0029846,0.0001757,0.040656,0.8925
7262,-4.2,0.39997,0.0029304,0.00036197,0.046103,0.9257
7282,-4.5001,0.69985,0.0029207,0.00058431,0.014412,0.85936
7287,-4.5,0.2,0.0030302,0.00016506,0.02224,0.83384
7295,-4.0998,0.59998,0.0028548,0.00055908,0.046394,0.96098
7296,-3.4986,0.79989,0.0026273,0.00084946,0.074018,1.1243
7307,-1.9866,0.40034,0.0025792,0.00066945,0.3752,1.9143
7329,-4.1998,0.69993,0.0028465,0.00063819,0.033013,0.941
7337,-1.5987,0.8782,0.0017707,0.0020603,-0.14208,1.5978
7346,-1.6923,0.45543,0.0023928,0.0010943,0.11467,2.2116
7349,-3.7,0.19998,0.0028566,0.00020073,0.12072,1.0425
7364,-2.1835,0.69663,0.0023138,0.0010623,0.096659,1.6687
7367,-1.1948,0.58865,0.0020136,0.0026608,0.26012,0.92988
7401,-2.9995,0.39956,0.0026951,0.00045629,0.22933,1.2355
7408,-2.4997,0.1997,0.0027334,0.00025176,0.45134,1.4123
7418,-3.298,0.79983,0.0025741,0.0008828,0.086625,1.1794
7438,-3.1996,0.3997,0.0027257,0.00044007,0.18935,1.1764
7443,-3.5993,0.69971,0.0026975,0.00072573,0.082489,1.0916
7449,-2.8993,0.39966,0.0026815,0.00046544,0.25081,1.2686
7469,-1.8791,0.76686,0.0020809,0.001443,-0.058572,1.7926
7484,-4.6,0.69989,0.0029448,0.00056373,0.0095776,0.82985
7492,-1.9737,0.50194,0.0024539,0.00086293,0.22367,1.9028
7493,-4.4001,0.6998,0.0028962,0.00060338,0.019983,0.88755
7500,-4.4,0.39999,0.002977,0.0003422,0.027739,0.87066
7514,-1.8972,0.19854,0.0028015,0.00034459,0.78017,2.0608
7525,-1.3143,0.87378,0.0016258,0.0026458,-0.050196,1.2079
7529,-1.1233,0.65747,0.0018979,0.0029271,0.22201,0.79065
7531,-2.7978,0.59888,0.0025645,0.00072399,0.19049,1.3283
7534,-2.0982,0.19966,0.0027685,0.00029554,0.66813,1.7268
7544,-2.594,0.69874,0.0024478,0.00090104,0.14878,1.428
7545,-2.5979,0.49865,0.0025891,0.00062882,0.26465,1.4054
7546,-1.7616,0.74763,0.0020329,0.0015624,-0.079906,1.8132
7554,-4.0999,0.39998,0.0029073,0.00037096,0.056595,0.95161
7555,-4.8,0.19998,0.0030971,0.00014521,0.0039201,0.7298
7558,-0.91204,0.86537,0.0015473,0.003607,0.094891,0.51579
7568,-4.8,0.39996,0.0030683,0.0002918,0.0035224,0.73987
7571,-4.1999,0.59994,0.002879,0.00054546,0.037903,0.93522
7576,-4.2,0.2,0.002962,0.00018047,0.051456,0.91959
7581,-3.1985,0.69935,0.0026003,0.00078239,0.11865,1.2008
7597,-4.6,0.29999,0.0030405,0.00023891,0.014134,0.805
7602,-1.9642,0.59708,0.0023335,0.0010451,0.11031,1.8675
7614,-1.6351,0.62451,0.002117,0.0015456,-0.028745,1.9067
7621,-3.9998,0.59991,0.0028307,0.00057195,0.055474,0.98615
8271,-2.2666,-0.89645,0.0021502,-0.0013341,-0.01586,1.5831
8272,-2.4849,-0.89727,0.0022478,-0.0012229,0.029371,1.4818
8273,-2.3801,-0.89207,0.0022074,-0.0012641,0.013096,1.5306
8274,-2.6887,-0.90456,0.0023212,-0.0011563,0.051112,1.3939
8275,-2.5867,-0.90367,0.0022833,-0.0011911,0.040695,1.4366
8276,-2.8921,-0.90383,0.0023925,-0.0010953,0.063431,1.316
8277,-2.7909,-0.90403,0.0023581,-0.0011237,0.058788,1.3535
8278,-3.095,-0.90208,0.0024583,-0.0010439,0.066548,1.2474
8279,-2.994,-0.90249,0.0024265,-0.0010678,0.066119,1.2805
8280,-3.2973,-0.90097,0.0025196,-0.0010001,0.063262,1.1862
8281,-3.1963,-0.90141,0.0024895,-0.0010212,0.065533,1.216
8282,-3.3981,-0.90022,0.0025492,-0.00097947,0.060139,1.1578
8283,-3.6988,-0.90042,0.0026338,-0.00092352,0.047007,1.0788
8284,-3.8992,-0.90028,0.0026888,-0.00088597,0.037047,1.0287
8285,-3.7992,-0.90009,0.0026616,-0.00090456,0.042096,1.0535
8286,-4.0995,-0.90018,0.0027427,-0.00084679,0.027094,0.97895
8295,-2.0616,-0.87551,0.0020638,-0.001449,-0.06274,1.6759
8372,-2.0709,-0.78605,0.0021667,-0.001289,-0.0044348,1.7088
8373,-1.967,-0.7837,0.0021132,-0.0013774,-0.038692,1.757
8374,-2.2793,-0.80063,0.0022499,-0.001175,0.045717,1.5934
8375,-2.1748,-0.79376,0.0022097,-0.0012264,0.022791,1.6521
8376,-2.4879,-0.80103,0.002332,-0.0010806,0.082618,1.4835
8377,-2.3836,-0.80533,0.0022886,-0.0011304,0.064326,1.5367
8378,-2.6923,-0.80346,0.0023993,-0.0010167,0.09797,1.3891
8379,-2.5899,-0.80349,0.0023657,-0.0010481,0.091613,1.4345
8380,-2.8951,-0.80215,0.0024618,-0.00096358,0.10165,1.3088
8381,-3.0968,-0.80136,0.0025193,-0.00092071,0.096586,1.2399
8382,-2.9959,-0.80139,0.0024912,-0.00094082,0.10004,1.2731
8383,-3.2979,-0.80088,0.002574,-0.00088379,0.086586,1.1792
8384,-3.4986,-0.80058,0.0026274,-0.00085002,0.07405,1.1242
8385,-3.3986,-0.80022,0.0026011,-0.00086605,0.080611,1.151
8386,-3.6991,-0.80038,0.00268,-0.00081746,0.060473,1.0725
