Node Number	Directional Deformation (m)
5591	2.3826e-003
5592	2.311e-003
5593	2.2332e-003
5594	2.2724e-003
5595	2.1491e-003
5596	2.1919e-003
5597	2.0582e-003
5598	2.1044e-003
5599	4.571e-004
5600	5.0483e-004
5601	1.8903e-004
5602	2.3052e-004
5603	2.5006e-004
5604	2.6951e-004
5605	2.8876e-004
5606	3.0824e-004
5607	3.2763e-004
5608	3.4741e-004
5609	3.6776e-004
5610	2.0095e-003
5611	1.9052e-003
5612	1.671e-004
5613	9.6051e-004
5614	1.442e-003
5615	7.8812e-004
5616	1.3224e-003
5617	1.2038e-003
5618	2.0951e-004
5619	2.5695e-004
5620	3.0874e-004
5621	3.6428e-004
5622	4.2291e-004
5623	4.8395e-004
5624	5.4675e-004
5625	6.107e-004
5626	6.7525e-004
5627	6.4289e-004
5628	7.3997e-004
5629	8.0448e-004
